nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 01:24:25,919 | INFO | crypto_bot | OKX startup self-check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 01:24:25,919 | INFO | crypto_bot | 连接 OKX Public WS: wss://ws.okx.com:8443/ws/v5/public
2026-08-19 01:24:26,397 | INFO | crypto_bot | 已订阅 ROBO-USDT trades
2026-08-19 01:24:26,505 | INFO | crypto_bot | WS event: {'event': 'subscribe', 'arg': {'channel': 'trades', 'instId': 'ROBO-USDT'}, 'connId': 'b0c1f927'}
2026-08-19 01:25:02,036 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:01.982000+00:00 price=0.01287000 size=5069.90000000
2026-08-19 01:25:02,036 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:01.982000+00:00 price=0.01287000 size=3173.60000000
2026-08-19 01:25:18,473 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:18.419000+00:00 price=0.01288000 size=8204.70000000
2026-08-19 01:25:26,306 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:26.252000+00:00 price=0.01287000 size=777.60000000
2026-08-19 01:25:54,156 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:54.101000+00:00 price=0.01287000 size=30292.40000000
2026-08-19 01:25:54,255 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:54.200000+00:00 price=0.01287000 size=19702.20000000
2026-08-19 01:25:55,265 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:25:55.210000+00:00 price=0.01288000 size=32967.10000000
2026-08-19 01:26:16,868 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:26:16.803000+00:00 price=0.01289000 size=130.60000000
2026-08-19 01:26:16,869 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:25:00+00:00 o=0.01287000 h=0.01288000 l=0.01287000 c=0.01288000 v=100187.50000000
2026-08-19 01:26:16,869 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:26:16,870 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:26:16.804000+00:00 price=0.01289000 size=1854.60000000
2026-08-19 01:26:30,279 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:26:30.225000+00:00 price=0.01288000 size=2705.10000000
2026-08-19 01:26:31,241 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:26:31.187000+00:00 price=0.01287000 size=20000.00000000
2026-08-19 01:27:17,582 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:17.529000+00:00 price=0.01287000 size=6329.90000000
2026-08-19 01:27:17,582 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:26:00+00:00 o=0.01289000 h=0.01289000 l=0.01287000 c=0.01287000 v=24690.30000000
2026-08-19 01:27:17,583 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:27:23,078 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:23.024000+00:00 price=0.01287000 size=6670.10000000
2026-08-19 01:27:25,148 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:25.093000+00:00 price=0.01288000 size=61375.60000000
2026-08-19 01:27:25,148 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:25.093000+00:00 price=0.01289000 size=1518.30000000
2026-08-19 01:27:55,150 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:55.096000+00:00 price=0.01288000 size=32967.10000000
2026-08-19 01:27:55,151 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:27:55.096000+00:00 price=0.01289000 size=10759.80000000
2026-08-19 01:33:21,764 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:33:21.707000+00:00 price=0.01291000 size=33080.60000000
2026-08-19 01:33:21,764 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:27:00+00:00 o=0.01287000 h=0.01289000 l=0.01287000 c=0.01289000 v=119620.80000000
2026-08-19 01:33:21,764 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:33:21,765 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:25:00+00:00 o=0.01287000 h=0.01289000 l=0.01287000 c=0.01289000 v=244498.60000000
2026-08-19 01:34:01,877 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:34:01.824000+00:00 price=0.01293000 size=125.40000000
2026-08-19 01:34:01,878 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:33:00+00:00 o=0.01291000 h=0.01291000 l=0.01291000 c=0.01291000 v=33080.60000000
2026-08-19 01:34:01,878 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:35:11,090 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:35:11.036000+00:00 price=0.01295000 size=116.10000000
